sstn,sdep,stmp,ssal,sden,spHa,stub,sflu,ssig,oxys,oxyc
St.3,8,20.1677375,32.31669375,1022.70815,9.11625,0.49685,1.30448125,22.67263125,91.5745625,4.79988125
St.3,9,19.805625,32.529775,1022.96845,9.11175,0.564275,1.2665,22.928975,91.28,4.81035
St.3,10,19.7217,32.5495,1023.00986,9.099,0.48128,1.18288,22.96566,90.793,4.79158
St.3,11,19.635675,32.6481,1023.1119,9.09325,0.5139,1.067325,23.062975,89.364,4.720925
St.3,12,19.80692,32.55854,1023.004213,9.0976,0.475453333,1.18672,22.95056,88.26726667,4.650733333
St.3,13,19.7995,32.56392857,1023.013743,9.109,0.533971429,1.161728571,22.95662857,88.618,4.669671429
St.3,14,19.87076667,32.50156667,1022.952333,9.104333333,0.493066667,1.172133333,22.89066667,88.525,4.660333333
St.3,15,19.639625,32.6157,1023.102975,9.08275,0.5391,0.91705,23.037225,89.25175,4.715575
St.3,16,19.0184875,32.80545625,1023.410913,9.0736875,0.8044,0.72196875,23.33981875,81.6278125,4.35729375
St.3,17,18.65098333,32.89753333,1023.577033,9.067333333,0.808933333,0.678233333,23.50235,78.32466667,4.208216667
St.3,18,18.48172,32.8141,1023.55994,9.0646,0.7785,0.60836,23.48054,77.8382,4.19754
St.3,19,18.22086,32.91368,1023.70516,9.06,0.74156,0.65304,23.6209,76.9814,4.16932
St.3,20,17.99783571,32.97492143,1023.811829,9.058928571,0.8555,0.690235714,23.72217857,75.78835714,4.120585714
St.3,21,17.83434286,33.02558571,1023.892943,9.059571429,0.9078,0.738728571,23.80065714,75.06242857,4.092585714
St.3,22,17.66435,32.970575,1023.8967,9.058,1.025475,0.629575,23.799475,74.60625,4.082275
St.3,23,17.32655,32.92945,1023.9508,9.0565,1.049125,0.542225,23.8486,73.61925,4.0554
St.3,24,16.76992,33.15309333,1024.257447,9.0532,1.002206667,0.455193333,24.15085333,70.92266667,3.943666667
St.3,25,16.55851429,33.17675714,1024.329371,9.052571429,0.903014286,0.361514286,24.21804286,70.354,3.9276
St.3,26,16.42097143,33.24792857,1024.420271,9.052571429,0.8413,0.325114286,24.30434286,69.71457143,3.900657143
St.3,27,16.30270625,33.29110625,1024.485544,9.0500625,1.02023125,0.31606875,24.36460625,69.028375,3.8701875
St.3,28,16.24521429,33.30818571,1024.515514,9.048714286,1.049057143,0.296342857,24.39085714,68.84171429,3.863642857
St.3,29,16.17112,33.33516,1024.558,9.0498,0.90488,0.2696,24.4285,68.504,3.84964
St.3,30,15.91549,33.4566,1024.71375,9.0486,1.1647,0.23276,24.57969,66.6451,3.76115
St.3,31,15.68995385,33.60982308,1024.886492,9.043153846,2.216946154,0.222584615,24.74818462,64.07707692,3.628923077
St.3,32,15.60394286,33.68174286,1024.965229,9.041571429,2.449428571,0.210114286,24.82274286,63.188,3.5831
St.3,33,15.56691667,33.70665,1024.997567,9.039,2.542616667,0.205066667,24.85018333,62.46983333,3.544416667
St.3,34,15.5058625,33.748325,1025.047838,9.0378125,3.15640625,0.21565625,24.8958125,61.6775,3.50278125
St.3,35,15.47047143,33.78048571,1025.084471,9.035142857,3.248757143,0.211971429,24.92844286,61.56928571,3.4984
St.3,36,15.4594,33.7999,1025.106575,9.0335,3.004575,0.185175,24.945825,61.2925,3.483
St.3,37,15.4496,33.81754,1025.1268,9.0318,3.17876,0.16034,24.96158,61.024,3.46808
St.3,38,15.42549375,33.85801875,1025.167388,9.029875,3.54511875,0.18223125,24.9981,60.735125,3.45244375
St.3,39,15.41295,33.885325,1025.196025,9.02775,3.43715,0.161525,25.021925,60.61925,3.446125
St.3,40,15.409675,33.914825,1025.22425,9.02775,3.46385,0.1598,25.04535,60.611,3.44525
St.3,41,15.40214286,33.92839286,1025.241043,9.028357143,3.468821429,0.159928571,25.05746429,60.29507143,3.4275
St.3,42,15.3894,33.9421,1025.2579,9.028,3.655233333,0.145583333,25.07083333,60.34666667,3.431033333
St.3,43,15.38215,33.951475,1025.2713,9.02925,3.274675,0.13025,25.07965,60.19675,3.422825
